morph,llength,lwidth,elevation,lat,larea
foliosissimum,0.20701416938432612,-1.0498221244986778,2.6825,38.7860218,-1.084372430384842
foliosissimum,0.6471032420585384,-1.1394342831883648,2.6825,38.7860218,-0.7338955164003168
foliosissimum,0.9631743177730056,-0.3011050927839216,2.6825,38.7860218,0.4205047497185934
foliosissimum,0.7701082216960737,-0.18632957819149348,2.6825,38.7860218,0.3422141682340896
foliosissimum,0.6048622656923737,-1.1583622930738837,2.6825,38.7860218,-0.7950645026520007
foliosissimum,1.0116009116784799,-0.19845093872383832,2.6825,38.7860218,0.5715854976841511
foliosissimum,0.6097655716208943,-0.9942522733438669,2.6825,38.7860218,-0.6260511769934631
foliosissimum,0.16551443847757333,-1.0216512475319814,2.6825,38.7860218,-1.0977012843248986
foliosissimum,0.85015092936961,-0.6348782724359695,2.6825,38.7860218,-0.02629181833684999
foliosissimum,0.6418538861723947,-0.941608539858445,2.6825,38.7860218,-0.5413191289565407
foliosissimum,0.35065687161316933,-1.0498221244986778,2.6825,38.7860218,-0.9407297281559989
foliosissimum,1.2839847422953208,0.002995508979798371,2.6825,38.7860218,1.0454157760046288
foliosissimum,0.959350221334602,-0.3856624808119846,2.6825,38.7860218,0.33212326525212676
foliosissimum,-0.09431067947124129,-1.4696759700589417,2.6825,38.7860218,-1.8055511248006735
foliosissimum,0.34358970439007686,-0.941608539858445,2.6825,38.7860218,-0.8395833107388585
foliosissimum,0.5596157879354227,-1.0788096613719298,2.6825,38.7860218,-0.7607583487069977
foliosissimum,0.6097655716208943,-1.2729656758128873,2.6825,38.7860218,-0.9047645794624835
foliosissimum,0.36464311358790924,-1.171182981502945,2.6825,38.7860218,-1.0481043431855264
foliosissimum,0.37843643572024505,-1.1394342831883648,2.6825,38.7860218,-1.0025623227386102
foliosissimum,0.7929925155296614,-0.6539264674066639,2.6825,38.7860218,-0.10249842714749308
foliosissimum,0.7466879474879751,-0.4620354595965587,2.6825,38.7860218,0.04308801262092583
foliosissimum,0.4574248470388755,-1.2729656758128873,2.6825,38.7860218,-1.0571053040445022
foliosissimum,1.1939224684724346,-0.11653381625595151,2.6825,38.7860218,0.8358241769459925
foliosissimum,0.9783261227936078,-0.2613647641344075,2.6825,38.7860218,0.47539688338870967
foliosissimum,0.7371640659767196,-0.8675005677047231,2.6825,38.7860218,-0.371900976998494
foliosissimum,0.85015092936961,-0.4780358009429998,2.6825,38.7860218,0.1305506531561197
foliosissimum,0.6575200029167941,-0.916290731874155,2.6825,38.7860218,-0.5003352042278513
foliosissimum,0.8628899551470398,-0.5447271754416722,2.6825,38.7860218,0.07659830443487733
foliosissimum,0.9162907318741551,-0.6348782724359695,2.6825,38.7860218,0.03984798416769515
foliosissimum,0.45107561936021673,-0.8915981192837836,2.6825,38.7860218,-0.6820869751940576
foliosissimum,1.2149127443642704,-0.37106368139083207,2.6825,38.7860218,0.6022845877029478
foliosissimum,1.2267122912954254,-0.030459207484708574,2.6825,38.7860218,0.9546886085402264
foliosissimum,0.9745596399981308,-0.4780358009429998,2.6825,38.7860218,0.2549593637846406
foliosissimum,0.3074846997479607,-1.5606477482646683,2.6825,38.7860218,-1.4947275237871982
foliosissimum,0.6830968447064438,-0.7133498878774648,2.6825,38.7860218,-0.2718175184415114
foliosissimum,0.9932517730102834,-0.4620354595965587,2.6825,38.7860218,0.2896518381432342
foliosissimum,0.6626879730752367,-0.7133498878774648,2.6825,38.7860218,-0.2922263900727185
micranthum,-0.18632957819149348,-1.2729656758128873,1.128,43.7447,-1.7008597292748713
micranthum,-0.843970070294529,-2.2537949288246137,1.128,43.7447,-3.339329474389633
